Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I69,F40-F41,DFW,ORD,57080,75323,11
I70,F41,JFK,ORD,69982,75323,93
I71,F42,SFO,ORD,19860,33193,75
I72,F22-F43,LGA,DEN,19800,52024,16
I73,F25-F43,SFO,DEN,20760,52024,19
I74,F42-F43,SFO,DEN,19860,52024,11
I75,F43,ORD,DEN,45607,52024,44
I76,F44,DEN,ORD,68057,74474,75
I77,F01-F45,DEN,PHX,48342,86972,9
I78,F44-F45,DEN,PHX,68057,86972,11
I79,F45,ORD,PHX,76564,86972,76
I80,F46,DCA,ATL,20940,24900,85
I81,F06-F47,BWI,DCA,20160,42525,12
I82,F11-F47,MCO,DCA,20760,42525,16
I83,F47,ATL,DCA,38565,42525,60
I84,F04-F48,MDW,ORD,46995,71800,10
I85,F47-F48,ATL,ORD,38565,71800,8
I86,F48,DCA,ORD,67381,71800,69
I87,F01-F49,DEN,MCO,48342,84461,7
I88,F41-F49,JFK,MCO,69982,84461,12
I89,F44-F49,DEN,MCO,68057,84461,10
I90,F48-F49,DCA,MCO,67381,84461,9
I91,F49,ORD,MCO,77171,84461,58
I92,F50,ATL,ORD,20100,24492,128
I93,F01-F51,DEN,DFW,48342,65854,7
I94,F25-F51,SFO,DFW,20760,65854,16
I95,F42-F51,SFO,DFW,19860,65854,10
I96,F51,ORD,DFW,60049,65854,74
I97,F51-F52,ORD,MIA,60049,83048,11
I98,F52,DFW,MIA,74939,83048,117
I99,F53,BOS,DTW,20700,25263,160
I100,F54,DTW,BOS,29297,33860,160
I101,F15-F55,DCA,DTW,20460,44772,16
I102,F31-F55,CLT,DTW,20280,44772,15
I103,F55,BOS,DTW,40209,44772,129
I104,F56,DTW,BOS,64978,69541,160
I105,F57,MIA,ATL,19980,24295,113
I106,F06-F58,BWI,PHL,20160,51570,10
I107,F11-F58,MCO,PHL,20760,51570,15
I108,F46-F58,DCA,PHL,20940,51570,11
I109,F57-F58,MIA,PHL,19980,51570,15
I110,F58,ATL,PHL,46751,51570,68
I111,F12-F59,ATL,FLL,35860,65198,15
I112,F58-F59,ATL,FLL,46751,65198,9
I113,F59,PHL,FLL,57998,65198,92
I114,F20-F60,DCA,PHL,43403,75536,7
I115,F60,FLL,PHL,68336,75536,121
I116,F61,DFW,PHL,20940,30354,113
I117,F61-F62,DFW,DEN,20940,46025,15
I118,F62,PHL,DEN,34775,46025,113
I119,F02-F63,ORD,MIA,59768,92757,11
I120,F43-F63,ORD,MIA,45607,92757,6
I121,F63,DEN,MIA,80391,92757,111
I122,F64,DFW,EWR,19860,29778,128
I123,F65,EWR,DFW,54506,64424,113
I124,F51-F66,ORD,MSP,60049,76334,10
I125,F65-F66,EWR,MSP,54506,76334,15
I126,F66,DFW,MSP,70160,76334,103
I127,F67,EWR,DFW,20100,30018,85
I128,F09-F68,BOS,MDW,21000,66490,13
I129,F68,DFW,MDW,60717,66490,83
I130,F69,LAS,DFW,20700,28323,160
I131,F09-F70,BOS,LAS,21000,48601,12
I132,F39-F70,BOS,LAS,20220,48601,13
I133,F67-F70,EWR,LAS,20100,48601,11
I134,F70,DFW,LAS,40978,48601,110
I135,F70-F71,DFW,SFO,40978,80299,14
I136,F71,LAS,SFO,77311,80299,146
I137,F72,MIA,MDW,20940,29512,85
I138,F03-F73,DCA,FLL,20640,47131,11
I139,F72-F73,MIA,FLL,20940,47131,11
I140,F73,MDW,FLL,38671,47131,66
I141,F20-F74,DCA,ATL,43403,71710,6
I142,F59-F74,PHL,ATL,57998,71710,12
I143,F73-F74,MDW,ATL,38671,71710,8
I144,F74,FLL,ATL,67498,71710,62
I145,F34-F75,JFK,ORD,66696,86762,12
I146,F74-F75,FLL,ORD,67498,86762,8
I147,F75,ATL,ORD,82370,86762,76
I148,F76,ORD,LAX,20640,33249,128
I149,F77,LAX,ORD,46638,59247,128
I150,F78,MIA,BWI,20880,27742,85
I151,F78-F79,MIA,MDW,20880,45386,11
I152,F79,BWI,MDW,40976,45386,85
I153,F07-F80,ATL,BWI,44175,71977,10
I154,F80,MDW,BWI,67567,71977,86
I155,F81,BWI,MDW,74473,78883,96
