Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T13,F42,C31,BWI,ATL,83807,87978,4171,2371,927,200,160,23:16 -> 00:26 (+1)
T14,F43,C32,JFK,FLL,19800,27553,7753,5953,1723,160,128,05:30 -> 07:39
T14,F44,C33,FLL,JFK,49550,57303,7753,5953,1723,160,128,13:45 -> 15:55
T15,F45,C34,LGA,DFW,20760,30799,10039,8239,2231,200,160,05:46 -> 08:33
T15,F46,C11,DFW,FLL,35985,44076,8091,6291,1798,200,160,09:59 -> 12:14
T15,F47,C25,FLL,DFW,66102,74193,8091,6291,1798,200,160,18:21 -> 20:36
T16,F48,C35,SEA,ORD,20340,32764,12424,10624,2761,200,160,05:39 -> 09:06
T16,F49,C35,ORD,ATL,45772,50164,4392,2592,976,200,160,12:42 -> 13:56
T16,F50,C36,ATL,ORD,63561,67953,4392,2592,976,200,160,17:39 -> 18:52
T17,F51,C37,BWI,DEN,20820,31588,10768,8968,2393,160,128,05:47 -> 08:46
T17,F52,C37,DEN,PHL,41412,52662,11250,9450,2500,160,128,11:30 -> 14:37
T17,F53,C38,PHL,ORD,60265,65161,4896,3096,1088,160,128,16:44 -> 18:06
T18,F54,C39,MIA,LGA,20400,28356,7956,6156,1768,160,128,05:40 -> 07:52
T18,F55,C40,LGA,DTW,62440,66062,3622,1822,805,160,128,17:20 -> 18:21
T18,F56,C41,DTW,MIA,84578,92889,8311,6511,1847,160,128,23:29 -> 01:48 (+1)
T19,F57,C42,JFK,MCO,20400,27244,6844,5044,1521,120,96,05:40 -> 07:34
T19,F58,C43,MCO,JFK,60718,67562,6844,5044,1521,120,96,16:51 -> 18:46
T19,F59,C44,JFK,CLT,88181,92096,3915,2115,870,120,96,00:29 (+1) -> 01:34 (+1)
T20,F60,C45,DFW,IAD,20640,29109,8469,6669,1882,200,160,05:44 -> 08:05
T20,F61,C45,IAD,DFW,32473,40942,8469,6669,1882,200,160,09:01 -> 11:22
T20,F62,C46,DFW,IAD,63729,72198,8469,6669,1882,200,160,17:42 -> 20:03
T21,F63,C47,CLT,DTW,20880,24502,3622,1822,805,120,96,05:48 -> 06:48
T21,F64,C47,DTW,CLT,32026,35648,3622,1822,805,120,96,08:53 -> 09:54
T21,F65,C48,CLT,DTW,62893,66515,3622,1822,805,120,96,17:28 -> 18:28
T22,F66,C49,BOS,ATL,20280,27124,6844,5044,1521,160,128,05:38 -> 07:32
T22,F67,C49,ATL,LAS,36024,48642,12618,10818,2804,160,128,10:00 -> 13:30
T22,F68,C50,LAS,MDW,77352,88336,10984,9184,2441,160,128,21:29 -> 00:32 (+1)
T23,F69,C51,MIA,DFW,20940,29049,8109,6309,1802,120,96,05:49 -> 08:04
T23,F70,C27,DFW,DTW,38208,45345,7137,5337,1586,120,96,10:36 -> 12:35
T23,F71,C52,DTW,JFK,65712,69384,3672,1872,816,120,96,18:15 -> 19:16
T23,F72,C43,JFK,ATL,80044,85543,5499,3699,1222,120,96,22:14 -> 23:45
T24,F73,C53,ORD,SFO,20640,33973,13333,11533,2963,160,128,05:44 -> 09:26
T24,F74,C53,SFO,ORD,47362,60695,13333,11533,2963,160,128,13:09 -> 16:51
