Itinerary,Flight_legs,From,To,SDT,SAT,Pax
I103,F68,ORD,MCO,55778,63068,70
I104,F09-F69,EWR,JFK,64711,90529,11
I105,F68-F69,ORD,JFK,55778,90529,9
I106,F69,MCO,JFK,83685,90529,76
I107,F70,MDW,MCO,20940,28117,128
I108,F71,MCO,MDW,43547,50724,113
I109,F71-F72,MCO,DFW,43547,69150,15
I110,F72,MDW,DFW,63377,69150,100
I111,F11-F73,CLT,LAX,51044,88425,15
I112,F21-F73,JFK,LAX,62479,88425,19
I113,F38-F73,ATL,LAX,58793,88425,10
I114,F72-F73,MDW,LAX,63377,88425,13
I115,F73,DFW,LAX,79502,88425,71
I116,F74,LAS,ORD,20100,31039,128
I117,F25-F75,ATL,LAS,20820,52204,13
I118,F67-F75,DEN,LAS,19980,52204,11
I119,F75,ORD,LAS,41265,52204,81
I120,F75-F76,ORD,MSP,41265,72997,12
I121,F76,LAS,MSP,63606,72997,116
I122,F77,PHX,IAH,19860,27150,128
I123,F78,IAH,JFK,57922,68168,113
I124,F78-F79,IAH,DTW,57922,85074,15
I125,F79,JFK,DTW,81402,85074,113
I126,F80,SLC,DEN,20220,23041,96
I127,F53-F81,LAX,LGA,19920,66206,19
I128,F81,DEN,LGA,54511,66206,68
I129,F81-F82,DEN,DFW,54511,78384,9
I130,F82,LGA,DFW,68345,78384,87
I131,F83,ORD,EWR,20760,25953,113
I132,F08-F84,IAH,ATL,20220,59694,10
I133,F83-F84,ORD,ATL,20760,59694,15
I134,F84,EWR,ATL,54299,59694,103
I135,F02-F85,ORD,EWR,51312,77825,9
I136,F40-F85,MIA,EWR,58586,77825,8
I137,F85,ATL,EWR,72430,77825,111
I138,F86,JFK,ATL,20820,26319,85
I139,F00-F87,PHL,ORD,19920,43320,10
I140,F86-F87,JFK,ORD,20820,43320,11
I141,F87,ATL,ORD,38928,43320,75
I142,F34-F88,LAS,ATL,43633,80536,9
I143,F42-F88,SFO,ATL,36261,80536,9
I144,F88,ORD,ATL,76144,80536,78
I145,F89,BOS,DTW,20100,24663,113
I146,F89-F90,BOS,MIA,20100,43231,15
I147,F90,DTW,MIA,34920,43231,100
I148,F17-F91,EWR,MDW,38752,68879,10
I149,F90-F91,DTW,MDW,34920,68879,13
I150,F91,MIA,MDW,60307,68879,105
I151,F92,DEN,LAS,20280,24820,128
I152,F33-F93,MSP,MDW,20700,69500,13
I153,F75-F93,ORD,MDW,41265,69500,11
I154,F93,LAS,MDW,58516,69500,104
