Tail,Flight,Crew,From,To,SDT,SAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring
T07,F24,C19,SFO,SLC,82577,86901,4324,2524,961,120,96,22:56 -> 00:08 (+1)
T08,F25,C20,ATL,ORD,20820,25212,4392,2592,976,160,128,05:47 -> 07:00
T08,F26,C20,ORD,MCO,38336,45626,7290,5490,1620,160,128,10:38 -> 12:40
T08,F27,C21,MCO,PHX,69155,82515,13360,11560,2969,160,128,19:12 -> 22:55
T09,F28,C22,LAX,MSP,19920,31021,11101,9301,2467,160,128,05:32 -> 08:37
T09,F29,C22,MSP,DTW,33318,37134,3816,2016,848,160,128,09:15 -> 10:18
T09,F30,C22,DTW,MSP,42678,46494,3816,2016,848,160,128,11:51 -> 12:54
T09,F31,C22,MSP,DTW,50671,54487,3816,2016,848,160,128,14:04 -> 15:08
T09,F32,C23,DTW,MSP,74323,78139,3816,2016,848,160,128,20:38 -> 21:42
T10,F33,C24,MSP,LAS,20700,30091,9391,7591,2087,160,128,05:45 -> 08:21
T10,F34,C24,LAS,ORD,43633,54572,10939,9139,2431,160,128,12:07 -> 15:09
T10,F35,C25,ORD,FLL,65040,73612,8572,6772,1905,160,128,18:04 -> 20:26
T11,F36,C26,ATL,DFW,20520,25803,5283,3483,1174,120,96,05:42 -> 07:10
T11,F37,C26,DFW,ATL,33082,38365,5283,3483,1174,120,96,09:11 -> 10:39
T11,F38,C01,ATL,DFW,58793,64076,5283,3483,1174,120,96,16:19 -> 17:47
T12,F39,C27,DTW,MIA,21000,29311,8311,6511,1847,120,96,05:50 -> 08:08
T12,F40,C28,MIA,ATL,58586,62901,4315,2515,959,120,96,16:16 -> 17:28
T13,F41,C29,PDX,SFO,19860,23847,3987,2187,886,120,96,05:31 -> 06:37
T13,F42,C29,SFO,ORD,36261,49594,13333,11533,2963,120,96,10:04 -> 13:46
T13,F43,C30,ORD,SFO,65627,78960,13333,11533,2963,120,96,18:13 -> 21:56
T13,F44,C30,SFO,IAH,81050,92871,11821,10021,2627,120,96,22:30 -> 01:47 (+1)
T14,F45,C31,SAN,SEA,20940,28554,7614,5814,1692,120,96,05:49 -> 07:55
T14,F46,C31,SEA,SAN,42219,49833,7614,5814,1692,120,96,11:43 -> 13:50
T14,F47,C32,SAN,MSP,74689,85768,11079,9279,2462,120,96,20:44 -> 23:49
T15,F48,C33,ATL,PHL,20400,25219,4819,3019,1071,160,128,05:40 -> 07:00
T15,F49,C33,PHL,ATL,36641,41460,4819,3019,1071,160,128,10:10 -> 11:31
T15,F50,C28,ATL,LAS,72587,85205,12618,10818,2804,160,128,20:09 -> 23:40
T16,F51,C34,SAN,MDW,20520,33012,12492,10692,2776,120,96,05:42 -> 09:10
T16,F52,C35,MDW,DCA,64989,69327,4338,2538,964,120,96,18:03 -> 19:15
T17,F53,C36,LAX,DEN,19920,26152,6232,4432,1385,200,160,05:32 -> 07:15
T17,F54,C37,DEN,LAX,46358,52590,6232,4432,1385,200,160,12:52 -> 14:36
T17,F55,C37,LAX,DEN,65752,71984,6232,4432,1385,200,160,18:15 -> 19:59
T17,F56,C38,DEN,LAX,85372,91604,6232,4432,1385,200,160,23:42 -> 01:26 (+1)
T18,F57,C39,PDX,SLC,20700,25249,4549,2749,1011,200,160,05:45 -> 07:00
T18,F58,C39,SLC,PDX,30615,35164,4549,2749,1011,200,160,08:30 -> 09:46
T18,F59,C39,PDX,MSP,39467,49763,10296,8496,2288,200,160,10:57 -> 13:49
T18,F60,C40,MSP,MCO,79897,89392,9495,7695,2110,200,160,22:11 -> 00:49 (+1)
T19,F61,C41,PHL,MSP,19920,27003,7083,5283,1574,120,96,05:32 -> 07:30
T19,F62,C41,MSP,LAX,38910,50011,11101,9301,2467,120,96,10:48 -> 13:53
T19,F63,C42,LAX,MSP,82480,93581,11101,9301,2467,120,96,22:54 -> 01:59 (+1)
T20,F64,C43,BWI,MIA,19800,26662,6862,5062,1525,200,160,05:30 -> 07:24
T20,F65,C44,MIA,BWI,58731,65593,6862,5062,1525,200,160,16:18 -> 18:13
T20,F66,C44,BWI,DFW,75588,84381,8793,6993,1954,200,160,20:59 -> 23:26
T21,F67,C45,DEN,ORD,19980,26397,6417,4617,1426,120,96,05:33 -> 07:19
T21,F68,C46,ORD,MCO,55778,63068,7290,5490,1620,120,96,15:29 -> 17:31
T21,F69,C07,MCO,JFK,83685,90529,6844,5044,1521,120,96,23:14 -> 01:08 (+1)
T22,F70,C47,MDW,MCO,20940,28117,7177,5377,1595,160,128,05:49 -> 07:48
T22,F71,C48,MCO,MDW,43547,50724,7177,5377,1595,160,128,12:05 -> 14:05
T22,F72,C48,MDW,DFW,63377,69150,5773,3973,1283,160,128,17:36 -> 19:12
T22,F73,C16,DFW,LAX,79502,88425,8923,7123,1983,160,128,22:05 -> 00:33 (+1)
T23,F74,C49,LAS,ORD,20100,31039,10939,9139,2431,160,128,05:35 -> 08:37
T23,F75,C49,ORD,LAS,41265,52204,10939,9139,2431,160,128,11:27 -> 14:30
T23,F76,C50,LAS,MSP,63606,72997,9391,7591,2087,160,128,17:40 -> 20:16
T24,F77,C51,PHX,IAH,19860,27150,7290,5490,1620,160,128,05:31 -> 07:32
T24,F78,C52,IAH,JFK,57922,68168,10246,8446,2277,160,128,16:05 -> 18:56
T24,F79,C52,JFK,DTW,81402,85074,3672,1872,816,160,128,22:36 -> 23:37
T25,F80,C53,SLC,DEN,20220,23041,2821,1021,627,120,96,05:37 -> 06:24
T25,F81,C54,DEN,LGA,54511,66206,11695,9895,2599,120,96,15:08 -> 18:23
T25,F82,C54,LGA,DFW,68345,78384,10039,8239,2231,120,96,18:59 -> 21:46
T26,F83,C55,ORD,EWR,20760,25953,5193,3393,1154,160,128,05:46 -> 07:12
T26,F84,C56,EWR,ATL,54299,59694,5395,3595,1199,160,128,15:04 -> 16:34
T26,F85,C56,ATL,EWR,72430,77825,5395,3595,1199,160,128,20:07 -> 21:37
T27,F86,C57,JFK,ATL,20820,26319,5499,3699,1222,120,96,05:47 -> 07:18
T27,F87,C00,ATL,ORD,38928,43320,4392,2592,976,120,96,10:48 -> 12:02
T27,F88,C58,ORD,ATL,76144,80536,4392,2592,976,120,96,21:09 -> 22:22
T28,F89,C59,BOS,DTW,20100,24663,4563,2763,1014,160,128,05:35 -> 06:51
T28,F90,C59,DTW,MIA,34920,43231,8311,6511,1847,160,128,09:42 -> 12:00
T28,F91,C60,MIA,MDW,60307,68879,8572,6772,1905,160,128,16:45 -> 19:07
T29,F92,C61,DEN,LAS,20280,24820,4540,2740,1009,160,128,05:38 -> 06:53
T29,F93,C62,LAS,MDW,58516,69500,10984,9184,2441,160,128,16:15 -> 19:18
