Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I112,I112,F27-F62,F27-F62,7,LAS,SEA,46851.0000030539,70263.99998999326,0.0,0.0,13:00 -> 19:31
I113,I113,F38-F62,F38-F62,15,PHX,SEA,36168.00000168215,70263.99998999326,0.0,0.0,10:02 -> 19:31
I114,I114,F57-F62,F57-F62,11,LAS,SEA,44675.00000210736,70263.99998999326,0.0,0.0,12:24 -> 19:31
I115,I115,F61-F62,F61-F62,7,MCO,SEA,46718.000002410394,70263.99998999326,0.0,0.0,12:58 -> 19:31
I116,I116,F62,F62,56,DFW,SEA,58258.000011224394,70263.99998999326,0.0,0.0,16:10 -> 19:31
I117,I80,F13-F07,F13-F50,6,PHL,ATL,20700.000002054247,48145.99998624383,7693.999986243827,788.0,05:45 -> 13:22
I118,I82,F50-F51,F07-F51,14,MIA,DFW,48984.38577494978,76861.99999887217,0.0,0.0,13:36 -> 21:21
I12,I12,F02-F09,F02-F09,11,MSP,ATL,60335.00000385644,83989.00000023219,2.321903593838215e-07,0.0,16:45 -> 23:19
I13,I13,F09,F09,103,MIA,ATL,79674.00000172773,83989.00000023219,2.321903593838215e-07,0.0,22:07 -> 23:19
I14,I14,F09-F10,F09-F10,14,MIA,DFW,79674.00000172773,91806.00000101166,1.011663698591292e-06,0.0,22:07 -> 01:30 (+1)
I15,I15,F10,F10,114,ATL,DFW,86523.00000430188,91806.00000101166,1.011663698591292e-06,0.0,00:02 (+1) -> 01:30 (+1)
I16,I16,F11,F11,141,PHX,DEN,19980.000001491055,24335.99999913184,0.0,0.0,05:33 -> 06:45
I17,I17,F12,F12,160,DEN,PHL,59421.00001209221,70671.0,0.0,0.0,16:30 -> 19:37
I18,I18,F13,F13,113,PHL,MIA,20700.000002054247,28052.999959375513,0.0,0.0,05:45 -> 07:47
I19,I19,F06-F14,F06-F14,15,ATL,PHL,20760.000001857927,57348.999994365564,0.0,0.0,05:46 -> 15:55
I20,I20,F14,F14,100,MIA,PHL,49996.0,57348.999994365564,0.0,0.0,13:53 -> 15:55
I21,I21,F14-F15,F14-F15,13,MIA,CLT,49996.0,70693.99999897774,0.0,0.0,13:53 -> 19:38
I22,I22,F15,F15,90,PHL,CLT,67450.0,70693.99999897774,0.0,0.0,18:44 -> 19:38
I23,I23,F15-F16,F15-F16,13,PHL,EWR,67450.0,82234.99999835216,0.0,0.0,18:44 -> 22:50
I24,I24,F16,F16,115,CLT,EWR,78410.0,82234.99999835216,0.0,0.0,21:46 -> 22:50
I25,I25,F17,F17,160,DFW,JFK,29844.472618889922,39155.472622281544,9002.472622281544,24587.6,08:17 -> 10:52
I26,I26,F18,F18,86,JFK,DFW,48700.0,58752.999994435326,0.0,0.0,13:31 -> 16:19
I27,I27,F18-F19,F18-F19,19,JFK,MCO,48700.0,69159.0,0.0,0.0,13:31 -> 19:12
I28,I28,F19,F19,141,DFW,MCO,62040.0,69159.0,0.0,0.0,17:14 -> 19:12
I29,I29,F20,F20,125,CLT,MCO,19800.000001678523,23197.00000062064,6.206391844898462e-07,0.0,05:30 -> 06:26
I30,I30,F21,F21,160,MCO,CLT,54418.0,57815.0,0.0,0.0,15:06 -> 16:03
I31,I31,F15-F22,F15-F22,12,PHL,MCO,67450.0,80582.0,0.0,0.0,18:44 -> 22:23
I32,I32,F22,F22,148,CLT,MCO,77185.0,80582.0,0.0,0.0,21:26 -> 22:23
I33,I33,F23,F23,125,ATL,IAH,20520.00000168385,25500.999998721167,0.0,0.0,05:42 -> 07:05
I34,I34,F24,F24,125,IAH,ATL,57608.00000168044,62588.99999871669,0.0,0.0,16:00 -> 17:23
I35,I35,F24-F25,F24-F25,19,IAH,MIA,57608.00000168044,86441.99999885373,0.0,0.0,16:00 -> 00:00 (+1)
I36,I36,F25,F25,141,ATL,MIA,82127.0,86441.99999885373,0.0,0.0,22:48 -> 00:00 (+1)
I37,I37,F26,F26,66,DTW,LAS,20580.000005236543,33215.99980507702,0.0,0.0,05:43 -> 09:13
I38,I38,F26-F27,F26-F27,11,DTW,DFW,20580.000005236543,54473.999991503406,0.0,0.0,05:43 -> 15:07
I39,I39,F27,F27,59,LAS,DFW,46851.0000030539,54473.999991503406,0.0,0.0,13:00 -> 15:07
I40,I40,F18-F28,F18-F28,16,JFK,LAX,48700.0,86142.0,0.0,0.0,13:31 -> 23:55
I41,I41,F27-F28,F27-F28,10,LAS,LAX,46851.0000030539,86142.0,0.0,0.0,13:00 -> 23:55
I42,I42,F28,F28,70,DFW,LAX,77219.0,86142.0,0.0,0.0,21:26 -> 23:55
I43,I43,F29,F29,125,DEN,IAH,19920.00000173185,26160.99998697106,0.0,0.0,05:32 -> 07:16
I44,I44,F30,F30,160,IAH,DEN,55883.0,62123.99999752103,0.0,0.0,15:31 -> 17:15
I45,I45,F31,F31,66,EWR,IAH,19800.000003730915,29924.99993629698,0.0,0.0,05:30 -> 08:18
I46,I46,F23-F32,F23-F32,19,ATL,SFO,20520.00000168385,55046.23463715512,2313.2346371551175,750.3,05:42 -> 15:17
I47,I47,F29-F32,F29-F32,19,DEN,SFO,19920.00000173185,55046.23463715512,2313.2346371551175,750.3,05:32 -> 15:17
I48,I48,F31-F32,F31-F32,11,EWR,SFO,19800.000003730915,55046.23463715512,2313.2346371551175,434.4,05:30 -> 15:17
I49,I49,F32,F32,47,IAH,SFO,44126.234629343046,55046.23463715512,2313.2346371551175,1855.9,12:15 -> 15:17
I50,I50,F33,F33,96,SFO,IAH,64460.0,76281.0,0.0,0.0,17:54 -> 21:11
I51,I51,F34,F34,125,PHX,MCO,20640.000005662605,33999.999416568506,0.0,0.0,05:44 -> 09:26
I52,I52,F20-F35,F20-F35,19,CLT,IAH,19800.000001678523,45878.99997525247,0.0,0.0,05:30 -> 12:44
I53,I53,F34-F35,F34-F35,19,PHX,IAH,20640.000005662605,45878.99997525247,0.0,0.0,05:44 -> 12:44
I54,I54,F35,F35,108,MCO,IAH,39705.000001524226,45878.99997525247,0.0,0.0,11:01 -> 12:44
I55,I55,F36,F36,160,IAH,MCO,74909.0,81082.99999772677,0.0,0.0,20:48 -> 22:31
I56,I56,F37,F37,141,MCO,PHX,19800.000005609152,33159.99933094333,0.0,0.0,05:30 -> 09:12
I57,I57,F37-F38,F37-F38,19,MCO,DFW,19800.000005609152,42435.99998596121,0.0,0.0,05:30 -> 11:47
I58,I58,F38,F38,110,PHX,DFW,36168.00000168215,42435.99998596121,0.0,0.0,10:02 -> 11:47
I59,I59,F18-F39,F18-F39,15,JFK,ATL,48700.0,66833.99999870577,0.0,0.0,13:31 -> 18:33
I60,I60,F27-F39,F27-F39,9,LAS,ATL,46851.0000030539,66833.99999870577,0.0,0.0,13:00 -> 18:33
I61,I61,F38-F39,F38-F39,16,PHX,ATL,36168.00000168215,66833.99999870577,0.0,0.0,10:02 -> 18:33
I62,I62,F39,F39,120,DFW,ATL,61551.00000207009,66833.99999870577,0.0,0.0,17:05 -> 18:33
I63,I63,F40,F40,113,CLT,DEN,31365.18548396178,40324.18548945121,9898.185489451207,19092.7,08:42 -> 11:12
I64,I64,F11-F41,F11-F41,19,PHX,LAX,19980.000001491055,58150.99999703076,0.0,0.0,05:33 -> 16:09
I65,I65,F40-F41,F40-F41,15,CLT,LAX,31365.18548396178,58150.99999703076,0.0,0.0,08:42 -> 16:09
I66,I66,F41,F41,94,DEN,LAX,51919.0,58150.99999703076,0.0,0.0,14:25 -> 16:09
I67,I67,F42,F42,128,LAX,DEN,61961.0,68193.0,0.0,0.0,17:12 -> 18:56
I68,I68,F43,F43,85,PHX,DFW,20340.00000250897,26607.999993184538,0.0,0.0,05:39 -> 07:23
I69,I69,F44,F44,96,DFW,PHX,37038.00000428595,43306.0,0.0,0.0,10:17 -> 12:01
I70,I70,F45,F45,75,PHX,DFW,75158.0,81425.99999571097,0.0,0.0,20:52 -> 22:37
I71,I71,F46,F46,75,DTW,LAS,19860.00000512953,32495.99975971448,0.0,0.0,05:31 -> 09:01
I72,I72,F26-F47,F26-F47,10,DTW,IAH,20580.000005236543,50162.00000122505,1.2250529835000634e-06,0.0,05:43 -> 13:56
I73,I73,F46-F47,F46-F47,11,DTW,IAH,19860.00000512953,50162.00000122505,1.2250529835000634e-06,0.0,05:31 -> 13:56
I74,I74,F47,F47,75,LAS,IAH,41333.000010040574,50162.00000122505,1.2250529835000634e-06,0.0,11:28 -> 13:56
I75,I75,F31-F48,F31-F48,10,EWR,LAS,19800.000003730915,67429.0,0.0,0.0,05:30 -> 18:43
I76,I76,F35-F48,F35-F48,14,MCO,LAS,39705.000001524226,67429.0,0.0,0.0,11:01 -> 18:43
I77,I77,F48,F48,72,IAH,LAS,58600.0,67429.0,0.0,0.0,16:16 -> 18:43
I78,I78,F49,F49,128,ATL,MIA,20400.000001642722,24714.99999952288,0.0,0.0,05:40 -> 06:51
I79,I09,F00-F50,F00-F07,1,PHL,ATL,19920.000003231886,53299.38577360512,5153.385773605121,88.0,05:32 -> 14:48
I79,I79,F00-F50,F00-F50,4,PHL,ATL,19920.000003231886,53299.38577360512,12847.385773605121,877.2,05:32 -> 14:48
I80,I80,F13-F50,F13-F50,9,PHL,ATL,20700.000002054247,53299.38577360512,12847.385773605121,1973.7,05:45 -> 14:48
I81,I10,F50,F07,5,MIA,ATL,48984.38577494978,53299.38577360512,5153.385773605121,439.8,13:36 -> 14:48
I81,I81,F50,F50,23,MIA,ATL,48984.38577494978,53299.38577360512,12847.385773605121,5044.0,13:36 -> 14:48
I83,I83,F24-F51,F24-F51,16,IAH,DFW,57608.00000168044,76861.99999887217,0.0,0.0,16:00 -> 21:21
I84,I84,F51,F51,77,ATL,DFW,71579.00000196123,76861.99999887217,0.0,0.0,19:52 -> 21:21
I85,I85,F05-F52,F05-F52,10,EWR,MIA,67868.00000572814,91391.99999414846,0.0,0.0,18:51 -> 01:23 (+1)
I86,I86,F18-F52,F18-F52,13,JFK,MIA,48700.0,91391.99999414846,0.0,0.0,13:31 -> 01:23 (+1)
I87,I87,F45-F52,F45-F52,11,PHX,MIA,75158.0,91391.99999414846,0.0,0.0,20:52 -> 01:23 (+1)
I88,I88,F51-F52,F51-F52,11,ATL,MIA,71579.00000196123,91391.99999414846,0.0,0.0,19:52 -> 01:23 (+1)
I89,I89,F52,F52,83,DFW,MIA,83283.00000389153,91391.99999414846,0.0,0.0,23:08 -> 01:23 (+1)
I90,I90,F53,F53,160,BOS,IAH,20700.000004245136,32250.999445899193,0.0,0.0,05:45 -> 08:57
I91,I91,F23-F54,F23-F54,16,ATL,BOS,20520.00000168385,48210.9191926318,374.9191926318017,102.4,05:42 -> 13:23
I92,I92,F29-F54,F29-F54,16,DEN,BOS,19920.00000173185,48210.9191926318,374.9191926318017,102.4,05:32 -> 13:23
I93,I93,F31-F54,F31-F54,9,EWR,BOS,19800.000003730915,48210.9191926318,374.9191926318017,57.6,05:30 -> 13:23
I94,I94,F54,F54,119,IAH,BOS,37536.91919051815,48210.9191926318,374.9191926318017,761.6,10:25 -> 13:23
I95,I95,F55,F55,160,BOS,IAH,60260.6742034679,70934.6742055701,5198.674205570103,14198.6,16:44 -> 19:42
I96,I96,F56,F56,113,DTW,LAS,20280.000005021426,32915.9995619237,0.0,0.0,05:38 -> 09:08
I97,I97,F26-F57,F26-F57,9,DTW,DFW,20580.000005236543,52297.99993563465,0.0,0.0,05:43 -> 14:31
I98,I98,F46-F57,F46-F57,10,DTW,DFW,19860.00000512953,52297.99993563465,0.0,0.0,05:31 -> 14:31
I99,I99,F56-F57,F56-F57,15,DTW,DFW,20280.000005021426,52297.99993563465,0.0,0.0,05:38 -> 14:31
