index,Tail,Flight,Crew,From,To,RDT,RAT,Flight_time,Cruise_time,Distance,Capacity,Pax,Timestring,Delay,DelayType
50,T15,F50,C28,ATL,LAS,72587.0,85205.0,12618.0,10817.999994234444,2804,160,128,20:09 -> 23:40,,0
51,T16,F51,C34,SAN,MDW,20520.0,33011.99999397977,12491.99999397977,10691.999993979773,2776,120,96,05:42 -> 09:10,,0
52,T16,F52,C35,MDW,DCA,65446.670584537685,69784.67058198669,4337.999997449006,2537.9999969807627,964,120,96,18:10 -> 19:23,00:07,1
53,T17,F53,C36,LAX,DEN,19920.000000588774,26151.99998860173,6231.999988012954,4431.999986369852,1385,200,160,05:32 -> 07:15,,0
54,T17,F54,C37,DEN,LAX,47707.21145400693,53541.21145570482,5834.000001697888,4034.0000007774947,1385,200,160,13:15 -> 14:52,00:15,1
55,T17,F55,C37,LAX,DEN,74255.09217926617,80089.09218171614,5834.000002449975,4034.00000218349,1385,200,160,20:37 -> 22:14,02:15,1
56,T17,F56,C38,DEN,LAX,85372.0,91603.9999984119,6231.999998411906,4431.9999984119,1385,200,160,23:42 -> 01:26 (+1),,0
57,T18,F57,C39,PDX,SLC,20700.000000487133,25248.999997951916,4548.9999974647835,2748.999996904074,1011,200,160,05:45 -> 07:00,,0
58,T18,F58,C39,SLC,PDX,30615.000000910255,35163.999999479136,4548.999998568881,2748.9999978790183,1011,200,160,08:30 -> 09:46,,0
59,T18,F59,C39,PDX,MSP,39467.000001267814,49762.99984456299,10295.999843295176,8495.999842075717,2288,200,160,10:57 -> 13:49,,0
60,T18,F60,C40,MSP,MCO,79897.0000034099,89392.0,9494.999996590093,7694.999996590088,2110,200,160,22:11 -> 00:49 (+1),,0
61,T19,F61,C41,PHL,MSP,19920.00000093475,27002.99999504603,7082.99999411128,5282.999988153706,1574,120,96,05:32 -> 07:30,,0
62,T19,F62,C41,MSP,LAX,38910.00000148548,50010.99991000967,11100.999908524187,9300.999902186075,2467,120,96,10:48 -> 13:53,,0
63,T19,F63,C42,LAX,MSP,82480.0,93580.99999665016,11100.999996650164,9300.999992321395,2467,120,96,22:54 -> 01:59 (+1),,0
64,T20,F64,C43,BWI,MIA,19800.0,26661.99999784514,6861.9999978451415,5061.9999978451415,1525,200,160,05:30 -> 07:24,,0
65,T20,F65,C44,MIA,BWI,58731.0,65592.99999882733,6861.999998827334,5061.999995070531,1525,200,160,16:18 -> 18:13,,0
66,T20,F66,C44,BWI,DFW,75588.00000195936,84380.99999686367,8792.999994904312,6992.999988926945,1954,200,160,20:59 -> 23:26,,0
67,T21,F67,C45,DEN,ORD,27833.278085976235,34080.671332975246,6247.39324699901,4447.3932456294415,1426,120,96,07:43 -> 09:28,02:08,1
68,T21,F68,C46,ORD,MCO,55778.00000158518,63067.999998775216,7289.99999719004,5489.9999944340125,1620,120,96,15:29 -> 17:31,,0
69,T21,F69,C07,MCO,JFK,83685.0,90528.99999812146,6843.999998121464,5043.999998121462,1521,120,96,23:14 -> 01:08 (+1),,0
70,T22,F70,C47,MDW,MCO,20940.00000071234,28116.999975303137,7176.999974590795,5376.999972536805,1595,160,128,05:49 -> 07:48,,0
71,T22,F71,C48,MCO,MDW,54212.61552321453,60906.615528274844,6694.000005060312,4894.000002788562,1595,160,128,15:03 -> 16:55,02:49,1
72,T22,F72,C48,MDW,DFW,63377.0,69150.0,5773.0,3972.999996221669,1283,160,128,17:36 -> 19:12,,0
73,T22,F73,C16,DFW,LAX,79502.00000301313,88425.0,8922.999996986866,7122.999996986871,1983,160,128,22:05 -> 00:33 (+1),,0
74,T23,F74,C49,LAS,ORD,20100.00000141602,31038.99986752544,10938.999866109418,9138.999860059988,2431,160,128,05:35 -> 08:37,,0
75,T23,F75,C49,ORD,LAS,41265.00000146784,52203.999897075206,10938.999895607369,9138.999891454085,2431,160,128,11:27 -> 14:30,,0
76,T23,F76,C50,LAS,MSP,63606.0,72997.0,9391.0,7590.999996722339,2087,160,128,17:40 -> 20:16,,0
77,T24,F77,C51,PHX,IAH,19860.0,27149.99999761009,7289.999997610092,5489.999997610093,1620,160,128,05:31 -> 07:32,,0
78,T24,F78,C52,IAH,JFK,57922.0,68168.0,10246.0,8445.999995710841,2277,160,128,16:05 -> 18:56,,0
79,T24,F79,C52,JFK,DTW,81402.0,85073.99999940587,3671.9999994058744,1871.9999994058771,816,160,128,22:36 -> 23:37,,0
80,T25,F80,C53,SLC,DEN,20220.000000797776,23041.00000064509,2820.999999847314,1020.999999726772,627,120,96,05:37 -> 06:24,,0
81,T25,F81,C54,DEN,LGA,54511.0,66205.99999452072,11694.999994520724,9894.999994520722,2599,120,96,15:08 -> 18:23,,0
82,T25,F82,C54,LGA,DFW,68345.0,78384.0,10039.0,8238.999996281545,2231,120,96,18:59 -> 21:46,,0
83,T26,F83,C55,ORD,EWR,20760.000000685297,25952.999998934178,5192.999998248881,3392.999994631418,1154,160,128,05:46 -> 07:12,,0
84,T26,F84,C56,EWR,ATL,54299.00000060878,59693.99999798099,5394.999997372208,3594.999992982149,1199,160,128,15:04 -> 16:34,,0
85,T26,F85,C56,ATL,EWR,72430.0,77825.0,5395.0,3594.9999987974766,1199,160,128,20:07 -> 21:37,,0
86,T27,F86,C57,JFK,ATL,28901.928906316025,34400.92889376791,5498.9999874518835,3698.9999826735566,1222,120,96,08:01 -> 09:33,02:14,1
87,T27,F87,C00,ATL,ORD,49238.68242608261,53630.68242575501,4391.9999996724,2591.999996432975,976,120,32,13:40 -> 14:53,02:51,1
88,T27,F88,C58,ORD,ATL,76144.0000007969,80535.99999999886,4391.999999201958,2591.9999980933458,976,120,96,21:09 -> 22:22,,0
89,T28,F89,C59,BOS,DTW,20100.00000068533,24662.999998928815,4562.999998243486,2762.9999976140775,1014,160,128,05:35 -> 06:51,,0
90,T28,F90,C59,DTW,MIA,34920.00000149565,43230.999998338695,8310.999996843042,6510.999986468439,1847,160,128,09:42 -> 12:00,,0
91,T28,F91,C60,MIA,MDW,60307.0,68879.0,8572.0,6771.9999968425045,1905,160,128,16:45 -> 19:07,,0
92,T29,F92,C61,DEN,LAS,20280.000000603166,24819.99999939897,4539.999998795804,2739.9999976616295,1009,160,128,05:38 -> 06:53,,0
93,T29,F93,C62,LAS,MDW,67185.06969831971,77343.0696994958,10158.000001176086,8358.000000767552,2441,160,128,18:39 -> 21:29,02:10,1
