Rec_itin,Skd_itin,Rec_flights,Skd_flights,Pax,From,To,RDT,RAT,Arr_delay,Cost,Rec_string
I151,I151,F92,F92,128,DEN,LAS,20280.000000603166,24819.99999939897,0.0,0.0,05:38 -> 06:53
I152,I152,F33-F93,F33-F93,13,MSP,MDW,20700.00000114427,77343.0696994958,7843.069699495798,1740.5,05:45 -> 21:29
I153,I153,F75-F93,F75-F93,11,ORD,MDW,41265.00000146784,77343.0696994958,7843.069699495798,1472.7,11:27 -> 21:29
I154,I154,F93,F93,104,LAS,MDW,67185.06969831971,77343.0696994958,7843.069699495798,13923.6,18:39 -> 21:29
I155,I52,F87-F35,F01-F35,10,ATL,FLL,49238.68242608261,73612.0,0.0,0.0,13:40 -> 20:26
I156,I65,F87-F43,F01-F43,9,ATL,SFO,49238.68242608261,78959.99998415668,0.0,0.0,13:40 -> 21:55
I157,I101,F87-F68,F01-F68,7,ATL,MCO,49238.68242608261,63067.999998775216,0.0,0.0,13:40 -> 17:31
I158,I140,F86-F01,F86-F87,10,JFK,ORD,28901.928906316025,47417.66181080358,4097.661810803576,699.5,08:01 -> 13:10
I16,I16,F12,F12,144,DFW,ATL,74043.0,79325.99999866652,0.0,0.0,20:34 -> 22:02
I17,I17,F13,F13,141,SEA,SAN,20880.000000774937,28493.99995004734,0.0,0.0,05:48 -> 07:54
I18,I18,F13-F14,F13-F14,19,SEA,DEN,20880.000000774937,61897.99999823254,0.0,0.0,05:48 -> 17:11
I19,I19,F14,F14,110,SAN,DEN,55729.0,61897.99999823254,0.0,0.0,15:28 -> 17:11
I20,I20,F14-F15,F14-F15,16,SAN,PHL,55729.0,87503.0,0.0,0.0,15:28 -> 00:18 (+1)
I21,I21,F15,F15,144,DEN,PHL,76253.00000459034,87503.0,0.0,0.0,21:10 -> 00:18 (+1)
I22,I22,F16,F16,141,DTW,EWR,19980.000000544707,23503.000000204556,2.0455627236515284e-07,0.0,05:33 -> 06:31
I23,I23,F08-F17,F08-F17,11,IAH,MIA,20220.000001334945,46626.999998523046,0.0,0.0,05:37 -> 12:57
I24,I24,F16-F17,F16-F17,19,DTW,MIA,19980.000000544707,46626.999998523046,0.0,0.0,05:33 -> 12:57
I25,I25,F17,F17,80,EWR,MIA,38752.00000133685,46626.999998523046,0.0,0.0,10:45 -> 12:57
I26,I26,F17-F18,F17-F18,15,EWR,DCA,38752.00000133685,56586.99997455219,0.0,0.0,10:45 -> 15:43
I27,I27,F18,F18,128,MIA,DCA,49914.00000064106,56586.99997455219,0.0,0.0,13:51 -> 15:43
I28,I28,F18-F19,F18-F19,17,MIA,MCO,49914.00000064106,84180.9999985608,0.0,0.0,13:51 -> 23:23
I29,I29,F19,F19,143,DCA,MCO,78673.0,84180.9999985608,0.0,0.0,21:51 -> 23:23
I30,I30,F20,F20,160,TPA,JFK,20820.000000692984,28104.99994797402,0.0,0.0,05:47 -> 07:48
I31,I31,F21,F21,141,JFK,DFW,62479.0,72531.9999982592,0.0,0.0,17:21 -> 20:08
I32,I32,F22,F22,75,SEA,LAS,20760.0,27036.999998184034,0.0,0.0,05:46 -> 07:30
I33,I33,F22-F23,F22-F23,11,SEA,SFO,20760.0,51023.000000534004,5.340043571777642e-07,0.0,05:46 -> 14:10
I34,I34,F23,F23,85,LAS,SFO,48035.00000079834,51023.000000534004,5.340043571777642e-07,0.0,13:20 -> 14:10
I35,I35,F24,F24,96,SFO,SLC,82577.0,86901.0,0.0,0.0,22:56 -> 00:08 (+1)
I36,I36,F25,F25,100,ATL,ORD,20820.000000768123,25212.000000183485,1.8348509911447763e-07,0.0,05:47 -> 07:00
I37,I37,F25-F26,F25-F26,15,ATL,MCO,20820.000000768123,45625.999982227084,0.0,0.0,05:47 -> 12:40
I38,I38,F26,F26,100,ORD,MCO,38336.00000075475,45625.999982227084,0.0,0.0,10:38 -> 12:40
I39,I39,F26-F27,F26-F27,13,ORD,PHX,38336.00000075475,82514.99999299072,0.0,0.0,10:38 -> 22:55
I40,I40,F27,F27,115,MCO,PHX,69155.0,82514.99999299072,0.0,0.0,19:12 -> 22:55
I41,I41,F28,F28,100,LAX,MSP,19920.000001480937,31020.999903809297,0.0,0.0,05:32 -> 08:37
I42,I42,F28-F29,F28-F29,15,LAX,DTW,19920.000001480937,37134.000000235494,2.3549364414066076e-07,0.0,05:32 -> 10:18
I43,I43,F29,F29,113,MSP,DTW,33318.0000005999,37134.000000235494,2.3549364414066076e-07,0.0,09:15 -> 10:18
I44,I44,F30,F30,128,DTW,MSP,42678.0000006006,46494.000000055144,5.5144482757896185e-08,0.0,11:51 -> 12:54
I45,I45,F28-F31,F28-F31,13,LAX,DTW,19920.000001480937,54487.00000008499,8.49904608912766e-08,0.0,05:32 -> 15:08
I46,I46,F31,F31,115,MSP,DTW,50671.000000565335,54487.00000008499,8.49904608912766e-08,0.0,14:04 -> 15:08
I47,I47,F32,F32,128,DTW,MSP,74323.0,78139.0,0.0,0.0,20:38 -> 21:42
I48,I48,F33,F33,100,MSP,LAS,20700.00000114427,30090.999943461095,0.0,0.0,05:45 -> 08:21
I49,I49,F22-F34,F22-F34,10,SEA,ORD,20760.0,57100.31686721024,2528.31686721024,431.6,05:46 -> 15:51
I50,I50,F33-F34,F33-F34,15,MSP,ORD,20700.00000114427,57100.31686721024,2528.31686721024,647.4,05:45 -> 15:51
I51,I51,F34,F34,72,LAS,ORD,46983.31686482665,57100.31686721024,2528.31686721024,3107.4,13:03 -> 15:51
I53,I53,F34-F35,F34-F35,12,LAS,FLL,46983.31686482665,73612.0,0.0,0.0,13:03 -> 20:26
I54,I54,F35,F35,106,ORD,FLL,65040.0,73612.0,0.0,0.0,18:04 -> 20:26
I55,I55,F36,F36,96,ATL,DFW,20520.00000080309,25802.99999961052,0.0,0.0,05:42 -> 07:10
I56,I56,F37,F37,96,DFW,ATL,33082.000000802684,38364.99999968798,0.0,0.0,09:11 -> 10:39
I57,I57,F02-F38,F02-F38,11,ORD,DFW,51312.00000115973,64075.99999989804,0.0,0.0,14:15 -> 17:47
I58,I58,F38,F38,75,ATL,DFW,58793.00000094818,64075.99999989804,0.0,0.0,16:19 -> 17:47
I59,I59,F39,F39,96,DTW,MIA,21000.000000947086,29310.999975695468,0.0,0.0,05:50 -> 08:08
I60,I60,F17-F40,F17-F40,13,EWR,ATL,38752.00000133685,62901.00000053017,5.301699275150895e-07,0.0,10:45 -> 17:28
I61,I61,F40,F40,66,MIA,ATL,58586.00000097012,62901.00000053017,5.301699275150895e-07,0.0,16:16 -> 17:28
I62,I62,F41,F41,85,PDX,SFO,19860.00000090457,23847.000000032942,3.294189809821546e-08,0.0,05:31 -> 06:37
I63,I63,F41-F42,F41-F42,11,PDX,ORD,19860.00000090457,49593.999884741184,0.0,0.0,05:31 -> 13:46
I64,I64,F42,F42,66,SFO,ORD,36261.00000214701,49593.999884741184,0.0,0.0,10:04 -> 13:46
I66,I66,F34-F43,F34-F43,10,LAS,SFO,46983.31686482665,78959.99998415668,0.0,0.0,13:03 -> 21:55
I67,I67,F43,F43,68,ORD,SFO,65627.00000008938,78959.99998415668,0.0,0.0,18:13 -> 21:55
I68,I68,F43-F44,F43-F44,9,ORD,IAH,65627.00000008938,92871.0,0.0,0.0,18:13 -> 01:47 (+1)
I69,I69,F44,F44,87,SFO,IAH,81050.0,92871.0,0.0,0.0,22:30 -> 01:47 (+1)
I70,I70,F45,F45,96,SAN,SEA,20940.0,28553.9999974233,0.0,0.0,05:49 -> 07:55
I71,I71,F46,F46,85,SEA,SAN,42219.0,49833.0,0.0,0.0,11:43 -> 13:50
I72,I72,F46-F47,F46-F47,11,SEA,MSP,42219.0,85767.99999503526,0.0,0.0,11:43 -> 23:49
I73,I73,F47,F47,85,SAN,MSP,74689.0,85767.99999503526,0.0,0.0,20:44 -> 23:49
I74,I74,F48,F48,128,ATL,PHL,20400.00000060256,25218.999999552587,0.0,0.0,05:40 -> 07:00
I75,I75,F49,F49,128,PHL,ATL,36641.0,41254.073627167774,0.0,0.0,10:10 -> 11:27
I76,I76,F02-F50,F02-F50,10,ORD,LAS,51312.00000115973,85205.0,0.0,0.0,14:15 -> 23:40
I77,I77,F40-F50,F40-F50,9,MIA,LAS,58586.00000097012,85205.0,0.0,0.0,16:16 -> 23:40
I78,I78,F50,F50,109,ATL,LAS,72587.0,85205.0,0.0,0.0,20:09 -> 23:40
I79,I79,F51,F51,96,SAN,MDW,20520.0,33011.99999397977,0.0,0.0,05:42 -> 09:10
I80,I80,F52,F52,96,MDW,DCA,65446.670584537685,69784.67058198669,457.6705819866911,750.0,18:10 -> 19:23
I81,I81,F53,F53,141,LAX,DEN,19920.000000588774,26151.99998860173,0.0,0.0,05:32 -> 07:15
I82,I82,F54,F54,160,DEN,LAX,47707.21145400693,53541.21145570482,951.211455704819,2597.9,13:15 -> 14:52
I83,I83,F55,F55,160,LAX,DEN,74255.09217926617,80089.09218171614,8105.092181716143,22136.6,20:37 -> 22:14
I84,I84,F14-F56,F14-F56,15,SAN,LAX,55729.0,91603.9999984119,0.0,0.0,15:28 -> 01:26 (+1)
I85,I85,F56,F56,145,DEN,LAX,85372.0,91603.9999984119,0.0,0.0,23:42 -> 01:26 (+1)
I86,I86,F57,F57,160,PDX,SLC,20700.000000487133,25248.999997951916,0.0,0.0,05:45 -> 07:00
I87,I87,F58,F58,141,SLC,PDX,30615.000000910255,35163.999999479136,0.0,0.0,08:30 -> 09:46
I88,I88,F58-F59,F58-F59,19,SLC,MSP,30615.000000910255,49762.99984456299,0.0,0.0,08:30 -> 13:49
I89,I89,F59,F59,141,PDX,MSP,39467.000001267814,49762.99984456299,0.0,0.0,10:57 -> 13:49
I90,I90,F60,F60,160,MSP,MCO,79897.0000034099,89392.0,0.0,0.0,22:11 -> 00:49 (+1)
I91,I91,F61,F61,85,PHL,MSP,19920.00000093475,27002.99999504603,0.0,0.0,05:32 -> 07:30
I92,I92,F61-F62,F61-F62,11,PHL,LAX,19920.00000093475,50010.99991000967,0.0,0.0,05:32 -> 13:53
I93,I93,F62,F62,85,MSP,LAX,38910.00000148548,50010.99991000967,0.0,0.0,10:48 -> 13:53
I94,I94,F63,F63,96,LAX,MSP,82480.0,93580.99999665016,0.0,0.0,22:54 -> 01:59 (+1)
I95,I95,F64,F64,160,BWI,MIA,19800.0,26661.99999784514,0.0,0.0,05:30 -> 07:24
I96,I96,F17-F65,F17-F65,12,EWR,BWI,38752.00000133685,65592.99999882733,0.0,0.0,10:45 -> 18:13
I97,I97,F65,F65,131,MIA,BWI,58731.0,65592.99999882733,0.0,0.0,16:18 -> 18:13
I98,I98,F65-F66,F65-F66,17,MIA,DFW,58731.0,84380.99999686367,0.0,0.0,16:18 -> 23:26
I99,I99,F66,F66,143,BWI,DFW,75588.00000195936,84380.99999686367,0.0,0.0,20:59 -> 23:26
